"3563254":{'stabilizer.thrust': 47268.0, 'motor.m1': 43563, 'motor.m2': 40879, 'motor.m3': 45327, 'motor.m4': 42999}
"3563274":{'stabilizer.thrust': 45992.0, 'motor.m1': 42580, 'motor.m2': 38686, 'motor.m3': 42858, 'motor.m4': 42480}
"3563294":{'stabilizer.thrust': 33897.0, 'motor.m1': 33963, 'motor.m2': 30489, 'motor.m3': 33609, 'motor.m4': 32763}
"3563314":{'stabilizer.thrust': 9110.0, 'motor.m1': 35122, 'motor.m2': 30682, 'motor.m3': 29866, 'motor.m4': 29326}
"3563334":{'stabilizer.thrust': 60545.0, 'motor.m1': 33009, 'motor.m2': 32069, 'motor.m3': 30405, 'motor.m4': 25821}
"3563354":{'stabilizer.thrust': 19309.0, 'motor.m1': 29615, 'motor.m2': 25307, 'motor.m3': 30223, 'motor.m4': 29179}
"3563374":{'stabilizer.thrust': 42764.0, 'motor.m1': 32341, 'motor.m2': 25889, 'motor.m3': 27071, 'motor.m4': 27159}
"3563394":{'stabilizer.thrust': 26027.0, 'motor.m1': 26727, 'motor.m2': 22659, 'motor.m3': 31431, 'motor.m4': 29463}
"3563414":{'stabilizer.thrust': 56512.0, 'motor.m1': 29207, 'motor.m2': 21237, 'motor.m3': 27901, 'motor.m4': 28591}
"3563434":{'stabilizer.thrust': 22042.0, 'motor.m1': 24437, 'motor.m2': 24265, 'motor.m3': 32205, 'motor.m4': 25249}
"3563454":{'stabilizer.thrust': 57332.0, 'motor.m1': 33697, 'motor.m2': 27041, 'motor.m3': 24573, 'motor.m4': 24701}
"3563474":{'stabilizer.thrust': 60164.0, 'motor.m1': 34761, 'motor.m2': 29189, 'motor.m3': 23949, 'motor.m4': 24185}
"3563494":{'stabilizer.thrust': 10082.0, 'motor.m1': 31076, 'motor.m2': 29722, 'motor.m3': 28840, 'motor.m4': 25638}
"3563514":{'stabilizer.thrust': 30535.0, 'motor.m1': 33084, 'motor.m2': 28046, 'motor.m3': 28988, 'motor.m4': 29414}
"3563534":{'stabilizer.thrust': 50260.0, 'motor.m1': 30357, 'motor.m2': 29135, 'motor.m3': 34537, 'motor.m4': 31291}
"3563554":{'stabilizer.thrust': 8501.0, 'motor.m1': 27553, 'motor.m2': 29397, 'motor.m3': 39365, 'motor.m4': 33797}
"3563574":{'stabilizer.thrust': 34988.0, 'motor.m1': 33951, 'motor.m2': 31613, 'motor.m3': 35019, 'motor.m4': 34105}
"3563594":{'stabilizer.thrust': 36709.0, 'motor.m1': 39694, 'motor.m2': 35098, 'motor.m3': 31706, 'motor.m4': 33338}
"3563614":{'stabilizer.thrust': 1175.0, 'motor.m1': 39330, 'motor.m2': 36248, 'motor.m3': 35980, 'motor.m4': 35914}
"3563634":{'stabilizer.thrust': 56609.0, 'motor.m1': 37631, 'motor.m2': 40113, 'motor.m3': 41325, 'motor.m4': 35415}
"3563654":{'stabilizer.thrust': 15720.0, 'motor.m1': 47063, 'motor.m2': 34839, 'motor.m3': 36015, 'motor.m4': 43095}
"3563674":{'stabilizer.thrust': 58317.0, 'motor.m1': 41857, 'motor.m2': 35167, 'motor.m3': 40601, 'motor.m4': 42003}
"3563694":{'stabilizer.thrust': 11773.0, 'motor.m1': 46899, 'motor.m2': 36577, 'motor.m3': 37463, 'motor.m4': 43081}
"3563714":{'stabilizer.thrust': 41292.0, 'motor.m1': 47624, 'motor.m2': 40536, 'motor.m3': 37624, 'motor.m4': 40748}
"3563734":{'stabilizer.thrust': 45969.0, 'motor.m1': 46512, 'motor.m2': 39086, 'motor.m3': 40258, 'motor.m4': 42796}
"3563754":{'stabilizer.thrust': 53109.0, 'motor.m1': 38281, 'motor.m2': 40461, 'motor.m3': 48425, 'motor.m4': 42621}
"3563774":{'stabilizer.thrust': 9130.0, 'motor.m1': 39057, 'motor.m2': 40857, 'motor.m3': 48729, 'motor.m4': 43529}
"3563794":{'stabilizer.thrust': 19011.0, 'motor.m1': 42816, 'motor.m2': 41112, 'motor.m3': 45020, 'motor.m4': 43380}
"3563814":{'stabilizer.thrust': 53220.0, 'motor.m1': 43510, 'motor.m2': 41660, 'motor.m3': 43518, 'motor.m4': 42124}
"3563834":{'stabilizer.thrust': 23785.0, 'motor.m1': 44700, 'motor.m2': 41348, 'motor.m3': 42200, 'motor.m4': 42104}
"3563854":{'stabilizer.thrust': 4460.0, 'motor.m1': 45454, 'motor.m2': 41488, 'motor.m3': 42714, 'motor.m4': 43468}
"3563874":{'stabilizer.thrust': 44848.0, 'motor.m1': 44028, 'motor.m2': 41368, 'motor.m3': 45042, 'motor.m4': 43318}
"3563894":{'stabilizer.thrust': 46036.0, 'motor.m1': 41287, 'motor.m2': 42263, 'motor.m3': 46431, 'motor.m4': 41743}
"3563914":{'stabilizer.thrust': 29907.0, 'motor.m1': 44148, 'motor.m2': 41764, 'motor.m3': 43514, 'motor.m4': 42046}
"3563934":{'stabilizer.thrust': 19821.0, 'motor.m1': 42352, 'motor.m2': 42438, 'motor.m3': 43242, 'motor.m4': 39188}
"3563954":{'stabilizer.thrust': 4779.0, 'motor.m1': 44680, 'motor.m2': 37358, 'motor.m3': 41282, 'motor.m4': 44688}
"3563974":{'stabilizer.thrust': 40334.0, 'motor.m1': 41548, 'motor.m2': 39242, 'motor.m3': 44128, 'motor.m4': 42622}
"3563994":{'stabilizer.thrust': 48464.0, 'motor.m1': 41561, 'motor.m2': 40229, 'motor.m3': 42941, 'motor.m4': 40889}
"3564014":{'stabilizer.thrust': 38841.0, 'motor.m1': 41880, 'motor.m2': 40780, 'motor.m3': 43454, 'motor.m4': 40378}
"3564034":{'stabilizer.thrust': 56773.0, 'motor.m1': 41089, 'motor.m2': 41437, 'motor.m3': 43851, 'motor.m4': 39371}
"3564054":{'stabilizer.thrust': 26647.0, 'motor.m1': 43133, 'motor.m2': 40745, 'motor.m3': 41989, 'motor.m4': 40437}
"3564074":{'stabilizer.thrust': 53330.0, 'motor.m1': 42606, 'motor.m2': 39074, 'motor.m3': 41340, 'motor.m4': 41652}
"3564094":{'stabilizer.thrust': 55795.0, 'motor.m1': 43624, 'motor.m2': 37902, 'motor.m3': 40584, 'motor.m4': 42598}
"3564114":{'stabilizer.thrust': 16591.0, 'motor.m1': 42141, 'motor.m2': 37945, 'motor.m3': 41219, 'motor.m4': 41767}
"3564134":{'stabilizer.thrust': 40457.0, 'motor.m1': 39963, 'motor.m2': 41969, 'motor.m3': 42529, 'motor.m4': 36939}
"3564154":{'stabilizer.thrust': 22802.0, 'motor.m1': 39519, 'motor.m2': 40593, 'motor.m3': 41243, 'motor.m4': 36697}
"3564174":{'stabilizer.thrust': 59097.0, 'motor.m1': 40487, 'motor.m2': 36563, 'motor.m3': 39173, 'motor.m4': 39321}
"3564194":{'stabilizer.thrust': 27250.0, 'motor.m1': 40880, 'motor.m2': 34900, 'motor.m3': 38374, 'motor.m4': 40894}
"3564214":{'stabilizer.thrust': 53343.0, 'motor.m1': 37522, 'motor.m2': 35818, 'motor.m3': 41926, 'motor.m4': 40190}
"3564234":{'stabilizer.thrust': 43504.0, 'motor.m1': 39963, 'motor.m2': 37413, 'motor.m3': 41035, 'motor.m4': 39961}
"3564254":{'stabilizer.thrust': 24349.0, 'motor.m1': 41658, 'motor.m2': 38170, 'motor.m3': 38720, 'motor.m4': 38504}
"3564274":{'stabilizer.thrust': 45974.0, 'motor.m1': 40490, 'motor.m2': 37916, 'motor.m3': 38204, 'motor.m4': 36682}
"3564294":{'stabilizer.thrust': 15645.0, 'motor.m1': 38940, 'motor.m2': 37408, 'motor.m3': 39630, 'motor.m4': 36842}
"3564314":{'stabilizer.thrust': 54121.0, 'motor.m1': 39800, 'motor.m2': 33880, 'motor.m3': 36210, 'motor.m4': 38410}
"3564334":{'stabilizer.thrust': 49455.0, 'motor.m1': 43597, 'motor.m2': 31289, 'motor.m3': 31737, 'motor.m4': 40581}
"3564354":{'stabilizer.thrust': 19856.0, 'motor.m1': 38521, 'motor.m2': 31927, 'motor.m3': 35515, 'motor.m4': 38729}
"3564374":{'stabilizer.thrust': 25210.0, 'motor.m1': 35835, 'motor.m2': 35843, 'motor.m3': 36851, 'motor.m4': 34199}
"3564394":{'stabilizer.thrust': 35210.0, 'motor.m1': 36304, 'motor.m2': 36220, 'motor.m3': 37314, 'motor.m4': 34070}
"3564414":{'stabilizer.thrust': 41926.0, 'motor.m1': 41723, 'motor.m2': 35941, 'motor.m3': 33353, 'motor.m4': 35043}
"3564434":{'stabilizer.thrust': 7100.0, 'motor.m1': 44827, 'motor.m2': 36161, 'motor.m3': 32121, 'motor.m4': 35479}
"3564454":{'stabilizer.thrust': 26963.0, 'motor.m1': 37195, 'motor.m2': 38153, 'motor.m3': 40087, 'motor.m4': 34489}
"3564474":{'stabilizer.thrust': 48523.0, 'motor.m1': 37892, 'motor.m2': 40066, 'motor.m3': 39782, 'motor.m4': 33544}
"3564494":{'stabilizer.thrust': 23804.0, 'motor.m1': 48580, 'motor.m2': 35872, 'motor.m3': 30558, 'motor.m4': 37934}
"3564514":{'stabilizer.thrust': 55658.0, 'motor.m1': 40120, 'motor.m2': 30830, 'motor.m3': 39224, 'motor.m4': 43270}
"3564534":{'stabilizer.thrust': 38852.0, 'motor.m1': 40672, 'motor.m2': 35930, 'motor.m3': 38620, 'motor.m4': 40006}
"3564554":{'stabilizer.thrust': 4856.0, 'motor.m1': 44527, 'motor.m2': 37565, 'motor.m3': 35029, 'motor.m4': 38599}
"3564574":{'stabilizer.thrust': 55890.0, 'motor.m1': 45547, 'motor.m2': 38113, 'motor.m3': 34701, 'motor.m4': 38159}
"3564594":{'stabilizer.thrust': 6513.0, 'motor.m1': 45362, 'motor.m2': 36156, 'motor.m3': 35238, 'motor.m4': 40016}
"3564614":{'stabilizer.thrust': 30111.0, 'motor.m1': 37326, 'motor.m2': 38466, 'motor.m3': 44074, 'motor.m4': 39322}
"3564634":{'stabilizer.thrust': 25687.0, 'motor.m1': 36320, 'motor.m2': 36796, 'motor.m3': 46598, 'motor.m4': 42478}
"3564654":{'stabilizer.thrust': 41153.0, 'motor.m1': 40508, 'motor.m2': 37338, 'motor.m3': 43360, 'motor.m4': 43274}
"3564674":{'stabilizer.thrust': 12227.0, 'motor.m1': 44415, 'motor.m2': 39557, 'motor.m3': 40847, 'motor.m4': 43305}
"3564694":{'stabilizer.thrust': 51922.0, 'motor.m1': 44411, 'motor.m2': 43791, 'motor.m3': 42233, 'motor.m4': 40357}
"3564714":{'stabilizer.thrust': 24093.0, 'motor.m1': 44078, 'motor.m2': 41182, 'motor.m3': 43010, 'motor.m4': 43114}
"3564734":{'stabilizer.thrust': 24932.0, 'motor.m1': 42090, 'motor.m2': 39816, 'motor.m3': 44850, 'motor.m4': 44640}
"3564754":{'stabilizer.thrust': 24983.0, 'motor.m1': 39674, 'motor.m2': 41678, 'motor.m3': 46934, 'motor.m4': 43110}
"3564774":{'stabilizer.thrust': 59735.0, 'motor.m1': 44080, 'motor.m2': 40756, 'motor.m3': 41838, 'motor.m4': 43218}
"3564794":{'stabilizer.thrust': 42629.0, 'motor.m1': 41248, 'motor.m2': 43320, 'motor.m3': 43448, 'motor.m4': 39560}
"3564814":{'stabilizer.thrust': 42534.0, 'motor.m1': 43316, 'motor.m2': 40778, 'motor.m3': 39976, 'motor.m4': 41458}
"3564834":{'stabilizer.thrust': 44413.0, 'motor.m1': 41519, 'motor.m2': 40165, 'motor.m3': 41969, 'motor.m4': 41903}
"3564854":{'stabilizer.thrust': 60726.0, 'motor.m1': 43109, 'motor.m2': 39097, 'motor.m3': 39979, 'motor.m4': 42603}
"3564874":{'stabilizer.thrust': 60138.0, 'motor.m1': 39695, 'motor.m2': 39201, 'motor.m3': 41609, 'motor.m4': 40175}
"3564894":{'stabilizer.thrust': 8738.0, 'motor.m1': 40744, 'motor.m2': 39696, 'motor.m3': 39394, 'motor.m4': 39022}
"3564914":{'stabilizer.thrust': 37921.0, 'motor.m1': 39955, 'motor.m2': 40359, 'motor.m3': 38965, 'motor.m4': 36961}
"3564934":{'stabilizer.thrust': 22667.0, 'motor.m1': 40604, 'motor.m2': 35898, 'motor.m3': 38502, 'motor.m4': 40996}
"3564954":{'stabilizer.thrust': 48059.0, 'motor.m1': 38986, 'motor.m2': 37130, 'motor.m3': 40146, 'motor.m4': 40134}
